"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 06 12:40:03 MSK 2025","Sun Jul 06 12:40:08 MSK 2025","4542","","org.example.OrderListTests","","org.example.OrderListTests","testGetOrderListWithCourierId","Get order list with courierId","Test that the order list endpoint filters orders by courierId"
"passed","Sat Jul 05 12:15:16 MSK 2025","Sat Jul 05 12:15:17 MSK 2025","1013","","org.example.OrderTests","","org.example.OrderTests","testCreateOrder[0]","Create order with different colors","Test that an order can be created with different color options"
"passed","Sun Jul 06 12:39:47 MSK 2025","Sun Jul 06 12:39:55 MSK 2025","8456","","org.example.OrderListTests","","org.example.OrderListTests","testGetOrderListWithLimitAndPage","Get order list with limit and page","Test that the order list endpoint respects limit and page parameters"
"passed","Sun Jul 06 12:40:12 MSK 2025","Sun Jul 06 12:40:17 MSK 2025","5631","","org.example.OrderTests","","org.example.OrderTests","testGetOrderList","Test getting order list","Test retrieving the list of orders"
"passed","Sun Jul 06 12:40:10 MSK 2025","Sun Jul 06 12:40:12 MSK 2025","1996","","org.example.CourierTests","","org.example.CourierTests","testCreateCourier","Test creating courier","Test creating courier with valid data"
"passed","Sun Jul 06 12:40:27 MSK 2025","Sun Jul 06 12:40:31 MSK 2025","4000","","org.example.CourierLoginTests","","org.example.CourierLoginTests","testLoginNonExistentUser","Login with non-existent user","Test that login fails for non-existent user"
"passed","Sat Jul 05 12:15:17 MSK 2025","Sat Jul 05 12:15:25 MSK 2025","7531","","org.example.OrderTests","","org.example.OrderTests","testCreateOrder[1]","Create order with different colors","Test that an order can be created with different color options"
"skipped","Sun Jul 06 12:40:08 MSK 2025","Sun Jul 06 12:40:08 MSK 2025","0","","org.example.OrderListTests","","org.example.OrderListTests","testGetOrderListWithNearestStation","Get order list with nearestStation","Test that the order list endpoint filters orders by nearestStation"
"passed","Sun Jul 06 12:40:17 MSK 2025","Sun Jul 06 12:40:22 MSK 2025","4989","","org.example.CourierLoginTests","","org.example.CourierLoginTests","testCourierCanLogin","Courier can login","Test that a courier can login with valid credentials"
"passed","Sun Jul 06 12:40:22 MSK 2025","Sun Jul 06 12:40:27 MSK 2025","4446","","org.example.CourierLoginTests","","org.example.CourierLoginTests","testLoginWithWrongPassword","Login with wrong password","Test that login fails with incorrect password"
"passed","Sat Jul 05 12:15:26 MSK 2025","Sat Jul 05 12:15:27 MSK 2025","986","","org.example.OrderTests","","org.example.OrderTests","testCreateOrder[3]","Create order with different colors","Test that an order can be created with different color options"
"skipped","Sun Jul 06 12:40:17 MSK 2025","Sun Jul 06 12:40:17 MSK 2025","0","","org.example.OrderTests","","org.example.OrderTests","testCreateOrderWithInvalidData","Test creating order with invalid data","Test that creating order with invalid data fails"
"passed","Sun Jul 06 12:39:55 MSK 2025","Sun Jul 06 12:40:03 MSK 2025","7746","","org.example.OrderListTests","","org.example.OrderListTests","testGetOrderList","Get order list without parameters","Test that the order list endpoint returns a list of orders without parameters"
"passed","Sat Jul 05 12:15:08 MSK 2025","Sat Jul 05 12:15:12 MSK 2025","4002","","org.example.CourierTests","","org.example.CourierTests","testCannotCreateDuplicateCourier","Cannot create duplicate courier","Test that creating a courier with an existing login fails"
"passed","Sun Jul 06 12:40:08 MSK 2025","Sun Jul 06 12:40:10 MSK 2025","2001","","org.example.CourierTests","","org.example.CourierTests","testCreateCourierWithoutLogin","Test creating courier without login","Test that creating courier without login fails"
"passed","Sat Jul 05 12:15:12 MSK 2025","Sat Jul 05 12:15:13 MSK 2025","1002","","org.example.CourierTests","","org.example.CourierTests","testCreateCourierMissingField","Create courier missing field","Test that creating a courier without a required field fails"
"passed","Sat Jul 05 12:15:25 MSK 2025","Sat Jul 05 12:15:26 MSK 2025","1048","","org.example.OrderTests","","org.example.OrderTests","testCreateOrder[2]","Create order with different colors","Test that an order can be created with different color options"
"skipped","Sun Jul 06 12:40:31 MSK 2025","Sun Jul 06 12:40:31 MSK 2025","0","","org.example.CourierLoginTests","","org.example.CourierLoginTests","testLoginMissingField","Login missing field","Test that login fails when a required field is missing"
"passed","Sun Jul 06 12:39:39 MSK 2025","Sun Jul 06 12:39:47 MSK 2025","7520","","org.example.OrderListTests","","org.example.OrderListTests","testGetOrderListNonExistentCourier","Get order list with non-existent courierId","Test that the order list endpoint returns 404 for non-existent courierId"
"skipped","Sun Jul 06 12:40:12 MSK 2025","Sun Jul 06 12:40:12 MSK 2025","0","","org.example.OrderTests","","org.example.OrderTests","testCreateOrder","Test creating order","Test creating order with valid data"
